Scenario,WIDTH,HEIGHT,Schedule,ChunkSize,Threads,paralelo,paralelo_collapse,Diferenca_Segundos,Ganho_Collapse_%,Speedup_Paralelo,Speedup_Collapse
Visão Completa,4096,4096,dynamic,1024,4,6.252503333333333,3.1194633333333335,3.13304,50.108569847490415,2.0409180631781645,3.9640792663722997
Visão Completa,4096,4096,auto,0,4,7.95337,5.683113333333334,2.2702566666666657,28.544587598296893,1.5546098241555635,2.174026155579316
Visão Completa,4096,4096,guided,1024,4,6.299690000000001,4.972106666666666,1.327583333333335,21.073788286936892,2.0247667935564895,2.4858556658997752
Visão Completa,4096,4096,static,64,4,5.1184,4.171318,0.947082,18.503477649265392,2.7772491712789837,3.0311024555628725
Visão Completa,4096,4096,dynamic,64,4,4.57009125,3.750615,0.8194762500000001,17.93128857109801,2.8143167889084375,3.350360766501085
Visão Completa,4096,4096,static,64,2,6.39924,5.93112,0.46811999999999987,7.315243685187614,1.9707944567104647,2.0829237832131047
Visão Completa,4096,4096,guided,64,4,6.128433333333334,5.99055,0.1378833333333338,2.249895296786027,2.0767164386890484,2.1972213864858148
Visão Completa,4096,4096,dynamic,1,4,4.545655555555555,4.471360000000001,0.07429555555555467,1.6344299440980081,2.8260660518917167,2.8369522349798695
Visão Completa,4096,4096,dynamic,1024,2,5.638516666666667,5.57662,0.06189666666666671,1.0977473389869092,2.1991423373399033,2.2153331066292683
Visão Completa,4096,4096,dynamic,1,2,5.4858633333333335,6.19357,-0.7077066666666667,-12.900552267980913,2.253294861011365,1.9946607383287682
Visão Completa,4096,4096,static,1024,4,6.197967500000001,7.2326025000000005,-1.0346349999999997,-16.693133676483455,2.1039971954066807,1.7085674792164598
Visão Completa,4096,4096,static,1024,2,5.607900000000001,7.30398,-1.6960799999999994,-30.244476542021058,2.203113059747471,1.6914163112564533
Visão Completa,4096,4096,auto,0,2,5.59178,,,,2.2104161833160583,
Visão Completa,4096,4096,dynamic,4,4,5.49678,,,,2.2475105259972037,
Visão Completa,4096,4096,dynamic,128,4,6.10797,,,,2.0226148637093684,
Visão Completa,4096,4096,guided,0,4,8.07205,,,,1.5304750229608226,
Visão Completa,4096,4096,guided,64,2,5.775226666666666,,,,2.13944201267265,
Visão Completa,4096,4096,guided,1024,2,5.573533333333333,,,,2.216592504823481,
Visão Completa,8192,8192,auto,0,4,34.3694,22.111866666666668,12.257533333333331,35.66408879216201,1.4536727371202585,2.2563930970598722
Visão Completa,8192,8192,guided,64,4,29.1964,19.816633333333332,9.379766666666669,32.12644937960388,1.7102912153450058,2.5176387769601476
Visão Completa,8192,8192,dynamic,1024,4,16.892433333333333,12.004666666666665,4.887766666666668,28.934651214646408,2.9603397689114614,4.156115048780762
Visão Completa,8192,8192,dynamic,64,4,18.2433,13.267733333333334,4.975566666666667,27.273391692657945,2.7615130579077345,3.7606895123222834
Visão Completa,8192,8192,dynamic,1,4,20.360333333333333,15.016766666666667,5.343566666666666,26.244986165910838,2.491140966417644,3.322402311638713
Visão Completa,8192,8192,static,64,4,17.164366666666666,14.785533333333333,2.3788333333333327,13.859138408835356,2.908872141040213,3.3785896791568955
Visão Completa,8192,8192,static,1024,4,16.983333333333334,15.205166666666665,1.7781666666666691,10.470068694798835,2.943042535804579,3.2811974314957184
Visão Completa,8192,8192,guided,1024,4,19.673933333333334,20.5211,-0.8471666666666664,-4.306036074806256,2.538157055589053,2.4433550672253266
Visão Completa,8192,8192,auto,0,2,21.399766666666665,,,,2.3313819202875012,
Visão Completa,8192,8192,dynamic,1,2,21.374866666666666,,,,2.3340794481521123,
Visão Completa,8192,8192,dynamic,1024,2,21.389799999999997,,,,2.3324447202349154,
Visão Completa,8192,8192,guided,64,2,21.431833333333334,,,,2.3278695569813777,
Visão Completa,8192,8192,guided,1024,2,21.375933333333332,,,,2.333957285930865,
Visão Completa,8192,8192,static,64,2,21.590766666666667,,,,2.310969322870251,
Visão Completa,8192,8192,static,1024,2,21.488,,,,2.3217945059360114,
Visão Completa,16384,16384,dynamic,1,4,103.5009,59.5624,43.938500000000005,42.452287854501755,2.068998767803,3.3219673638626994
Visão Completa,16384,16384,static,64,4,80.7472,54.5375,26.209700000000005,32.45895832920523,2.4641890708333247,3.628092584970261
Visão Completa,16384,16384,dynamic,64,4,59.165600000000005,53.33083333333334,5.834766666666667,9.861755254179231,3.3567428930066647,3.7100533981421666
Visão Completa,16384,16384,static,1024,4,53.47729999999999,50.2868,3.190499999999993,5.966082805227627,3.7002165035331527,3.933762643182062
Visão Completa,16384,16384,dynamic,1024,4,48.69423333333333,47.2272,1.467033333333326,3.0127455201745166,4.064704119141029,4.1885366821269265
Visão Completa,16384,16384,guided,64,4,81.94316666666667,80.30263333333333,1.6405333333333374,2.0020379978806497,2.419151362942457,2.4634715255527264
Visão Completa,16384,16384,auto,0,4,85.83693333333333,87.90483333333333,-2.0678999999999945,-2.4091028415118836,2.3054183869591216,2.2503290261851636
Visão Completa,16384,16384,guided,1024,4,74.4436,78.48656666666666,-4.042966666666658,-5.430912350647548,2.6575278986711415,2.5220734465533514
Visão Completa,16384,16384,dynamic,1,2,84.67335,,,,2.3361878670064744,
Visão Completa,16384,16384,static,64,2,85.02583333333332,,,,2.3265062032304793,
Visão Completa,16384,16384,static,1024,2,84.82456666666667,,,,2.332023236385685,
Zoom (Seahorse),4096,4096,guided,1024,4,1.8209333333333333,1.3956766666666667,0.4252566666666666,23.353774621073438,3.306260781255132,4.293723127025366
Zoom (Seahorse),4096,4096,dynamic,1024,4,1.57822,1.3812533333333334,0.1969666666666665,12.480304815974105,3.790127647804647,4.336836638191948
Zoom (Seahorse),4096,4096,static,1024,4,1.6156933333333334,1.5502566666666666,0.06543666666666681,4.050067256987721,3.7023843956431004,3.8674886780688134
Zoom (Seahorse),4096,4096,dynamic,64,4,1.6574175,1.6542166666666667,0.0032008333333333194,0.19312172903528046,3.6646929949827403,3.6378648129370794
Zoom (Seahorse),4096,4096,guided,64,4,1.57858,1.6020266666666665,-0.023446666666666394,-1.485301135619759,3.8254516497657383,3.738995961200461
Zoom (Seahorse),4096,4096,auto,0,4,1.6952233333333335,1.91659,-0.2213666666666665,-13.058259776981194,3.5311386925307566,3.122294957517146
Zoom (Seahorse),4096,4096,dynamic,1,4,1.534685,1.9174833333333332,-0.38279833333333313,-24.943120792431873,3.9597862850812424,3.120801474250834
Zoom (Seahorse),4096,4096,static,64,4,1.4979033333333334,1.8738766666666666,-0.37597333333333327,-25.09997307347381,3.992249305186386,3.1990124327043996
Zoom (Seahorse),8192,8192,dynamic,1024,4,5.869506666666666,5.37744,0.4920666666666662,8.383441652109312,3.931167749173093,4.292113964795987
Zoom (Seahorse),8192,8192,guided,1024,4,5.735796666666666,5.42199,0.31380666666666635,5.471021462290325,4.022922998526547,4.259112870546318
Zoom (Seahorse),8192,8192,static,1024,4,6.38164,6.282966666666667,0.09867333333333317,1.5462065132682692,3.6157705398401503,3.6729423253969604
Zoom (Seahorse),8192,8192,dynamic,64,4,5.649016666666667,5.962413333333333,-0.3133966666666659,-5.547809205731957,4.085880192018111,3.870946987103577
Zoom (Seahorse),8192,8192,auto,0,4,6.484306666666666,6.87309,-0.38878333333333437,-5.9957579633289155,3.5589730227196306,3.358132729710522
Zoom (Seahorse),8192,8192,guided,64,4,5.72963,6.110836666666667,-0.38120666666666647,-6.653251024353518,4.027396499571328,3.7778441607849156
Zoom (Seahorse),8192,8192,static,64,4,5.7366866666666665,6.519096666666667,-0.7824100000000005,-13.638708987650256,4.022902988900458,3.5437789848600487
Zoom (Seahorse),8192,8192,dynamic,1,4,5.670486666666666,7.28654,-1.6160533333333333,-28.499376302798236,4.069354038634351,3.167192720860085
Zoom (Seahorse),16384,16384,static,1024,4,24.3223,22.1484,2.1738999999999997,8.937888275368694,3.7907589224106366,4.162871689626354
Zoom (Seahorse),16384,16384,static,64,4,26.849800000000002,24.96726666666667,1.8825333333333312,7.011349556917858,3.5694346615767985,3.6948752766278115
Zoom (Seahorse),16384,16384,guided,1024,4,22.321366666666666,21.2266,1.094766666666665,4.9045682686693235,4.130712795643693,4.343617335849639
