Scenario,WIDTH,Code,Schedule_Chunk,Tempo_Medio,Tempo_Min,Tempo_Max,Tempo_Std,Speedup_Medio,Eficiencia_Media,Execucoes
Visão Completa,4096,paralelo_collapse,dynamic (1024),3.7337525,3.04324,5.57662,1.2324097626837973,3.5268927264365413,1.0201815007734647,4
Visão Completa,4096,paralelo_collapse,dynamic (64),3.750615,2.98303,4.18701,0.527750018948365,3.350360766501085,0.8375901916252713,4
Visão Completa,4096,paralelo_collapse,static (64),4.464618333333333,3.14903,5.93112,0.9347490040522464,2.873072676837911,0.8050566601766905,6
Visão Completa,4096,paralelo,dynamic (64),4.57009125,3.38565,6.26687,0.9818538165478824,2.8143167889084375,0.7035791972271094,8
Visão Completa,4096,paralelo,dynamic (1),4.7807075,3.01528,5.64344,0.8749519892399811,2.6828732541716285,0.8115492423561174,12
Visão Completa,4096,paralelo_collapse,dynamic (1),4.815802,3.50796,6.19357,1.0517549225794,2.668493935649649,0.7668565208288507,5
Visão Completa,4096,paralelo_collapse,guided (1024),4.972106666666666,4.8587,5.11895,0.13330800288554792,2.4858556658997752,0.6214639164749438,3
Visão Completa,4096,paralelo,dynamic (4),5.49678,5.49678,5.49678,,2.2475105259972037,0.5618776314993009,1
Visão Completa,4096,paralelo,static (64),5.545346666666666,3.05594,10.3447,2.240816894549843,2.508430933089477,0.791340604664908,9
Visão Completa,4096,paralelo_collapse,auto (0),5.683113333333334,5.60585,5.72987,0.06740350609080623,2.174026155579316,0.543506538894829,3
Visão Completa,4096,paralelo,guided (1024),5.936611666666667,5.37008,7.97647,1.002631361516618,2.120679649189985,0.8072439754004314,6
Visão Completa,4096,paralelo,static (1024),5.945081428571429,5.16568,9.00463,1.361367755181391,2.146475422981305,0.7726666835754125,7
Visão Completa,4096,paralelo,dynamic (1024),5.94551,5.31113,7.93399,1.0170183988896169,2.1200302002590337,0.8049003422322464,6
Visão Completa,4096,paralelo_collapse,guided (64),5.99055,4.84367,8.93732,1.9700813431429673,2.1972213864858148,0.5493053466214537,4
Visão Completa,4096,paralelo,guided (64),6.010697777777778,4.87576,7.83107,0.9335056683783153,2.097624963350249,0.7026930752269497,9
